Year,Movie,Song,Singer,Composer
1931,Alam Ara,De De Khuda Ke Naam Pe Pyaare,Wazir Muhammad Khan,Firozshah Mistry
1931,Alam Ara,Badla Dilwayega Yaar Ab Tu Sitamgaroon Se,-,Firozshah Mistry
1931,Alam Ara,Rootha Hai Aasmaan,-,Firozshah Mistry
1931,Alam Ara,Teri Kateelee Nigaahon Ne Mara,-,Firozshah Mistry
1931,Alam Ara,De Dil Ko Aaram Aey Saaki Gulfaam,-,Firozshah Mistry
1931,Alam Ara,Bhar Bhar Ke Jaam Pila Ja,-,Firozshah Mistry
1931,Alam Ara,Daras Bin Morey Hain Tarse Nayna Pyare,-,Firozshah Mistry
1931,Draupadi,Anokhi Jaadu Bhari Mri Kaisi Hai Paase Ki Chaal,Hadi,
1931,Draupadi,Bhagat Ke Bas Mein Hai Bhagwan,Khalil,
1931,Draupadi,Bhaj Krishan Kanhaiya Paar Kare Meri Naiya,,
1931,Draupadi,Do Din Ka Mehmaan Arre Kyun Murkh Mann Bhatkave,Jilloobai,
1931,Draupadi,Gaavein Manaavein Aanad Hum Mil Kar Saari,Chorus,
1931,Draupadi,Jis Main Apni Nazar Se Dekhoon,Ermeline,
1931,Draupadi,Kanhaiya Aao Re Dhaao Re,Ermeline,
1931,Draupadi,Laaj Rakhe Dinanath Jagat Mein,Ermeline,
1931,Draupadi,Main Toh Shakuni Kumar Hoon Matlab Ka Yaar Hoon,Hadi,
1931,Draupadi,Mujh Mein Kaisi Badi Karamaat Hai,,
1931,Draupadi,Nayanwa Khol Maharaj Atal Rahe Tero Raj,Hadi,
1933,Puran Bhagat,Din Neeke Beete Jaate Hain,K. L. Saigal,R. C. Boral
1933,Puran Bhagat,Avsar beeto jaat praani,K. L. Saigal,R. C. Boral
1933,Puran Bhagat,Raadhe Raani De Daaro Naa Bansari Mori Re,K. L. Saigal,R. C. Boral
1933,Puran Bhagat,Bhaju Main To Bhaav Se Shiri Giridhari,K. L. Saigal,R. C. Boral
1933,Puran Bhagat,Jaavo Jaavo E Mere Saadhu,K. C. Dey,R. C. Boral
1933,Puran Bhagat,Kya Kaaran Hai Ab Rone Kaa,K. C. Dey,R. C. Boral
1933,Yahudi Ki Ladki,Ye Tasarruf Allah Allah Tere Maikhane Mein Hai,K. L. Saigal,Pankaj Mullick
1933,Yahudi Ki Ladki,Lag Gayi Chot Karejwa Mein,K. L. Saigal,Pankaj Mullick
1933,Yahudi Ki Ladki,Lakh Sahi Hain Pi Ki Batiyan,K. L. Saigal,Pankaj Mullick
1933,Yahudi Ki Ladki,Nuktacheen Hai Ghame-Dil,K. L. Saigal,Pankaj Mullick
1933,Yahudi Ki Ladki,Ab Shaad Hai Dil,Utpala Sen,Pankaj Mullick
1934,Amrit Manthan,Kamsini Main Dil Pe Gham,Shanta Apte,Keshavrao Bhole
1934,Amrit Manthan,Raat Aai Hai,Shanta Apte,Keshavrao Bhole
1934,Amrit Manthan,Dekho Dekho,Shanta Apte,Keshavrao Bhole
1934,Amrit Manthan,Taro Mori Bipta',Shanta Apte,Keshavrao Bhole
1934,Amrit Manthan,Arzoo-E-Dil Aayaaan Karne Se,,Keshavrao Bhole
1934,Amrit Manthan,Andheri Ab Beeti Saadho Vipada Ki Raat,,Keshavrao Bhole
1934,Amrit Manthan,Jayati Jai Ambike,,Keshavrao Bhole
1934,Amrit Manthan,Sakhi Ri Shyam,Vasant Desai,Keshavrao Bhole
1934,Amrit Manthan,Soinri Pyash Bhagi,,Keshavrao Bhole
1934,Amrit Manthan,Aurat Ka Dukh Haro Devi Durga,,Keshavrao Bhole
1934,Amrit Manthan,Abla Hai Buri Bala,,Keshavrao Bhole
1934,Amrit Manthan,Banwa Ki Chhavi,,Keshavrao Bhole
1934,Amrit Manthan,Jiya Mora Na Bisaare,,Keshavrao Bhole
1934,Chandidas,Tadpat Beete Din Rain,K. L. Saigal,R. C. Boral
1934,Chandidas,Prem Nagar Mein Banaooingi Ghar Main,"Saigal, Uma Sashi",R. C. Boral
1934,Chandidas,Prem Ki Ho Jai Jai,"Saigal, Pahadi Sanyal, Uma Shashi",R. C. Boral
1934,Chandidas,Prem Ka Pujaari,K. L. Saigal,R. C. Boral
1934,Chandidas,Basant Ritu Aayi Aali,Uma Sashi,R. C. Boral
1934,Grihalaxmi,Aao Aaoji Garwa Lagao Saiyan,Kamla,S. P. Rane
1934,Grihalaxmi,Bhagwan Karega Madad Teri,K. C. Dey,S. P. Rane
1934,Grihalaxmi,Baaki Hai Aankh Jab Tak Dekha Karenge Tujhko,Lalita Devulkar,S. P. Rane
1934,Grihalaxmi,Chanchala Chapal Chit Ki Hai Lagan,K. C. Dey,S. P. Rane
1934,Grihalaxmi,Chandrika Bane Tu Main Taara,Jal Merchant,S. P. Rane
1934,Grihalaxmi,Dekha Jo Husn-e-Yaar Tabiyat Machal Gayi,Lalita Devulkar,S. P. Rane
1934,Grihalaxmi,Kat Gayi Kat Gayi Yunhi Meri Saari Umariya,Kamala Devi,S. P. Rane
1934,Grihalaxmi,Khelat Krishna Kanhaiya Hori,Lalita Devulkar,S. P. Rane
1934,Grihalaxmi,Kyun Nahin Ab Tak Aaye Raah Dekhte Thak Gayi Aankhein,Sabita Devi,S. P. Rane
1934,Grihalaxmi,Na Ranjh Kar Badnaseeb Bharat,K. C. Dey,S. P. Rane
1934,Grihalaxmi,Niradhaar Hun Daataar Ab Toh Tum,Jal Merchant,S. P. Rane
1934,Grihalaxmi,Suratiya Nahin Bhule Ri Kaise Dharoon Man Dhir,Jal Merchant,S. P. Rane
1934,Grihalaxmi,Teri Khatir Ajab Rang Jama Rakha Hai,Lalita Devulkar,S. P. Rane
1934,Grihalaxmi,Wah Rang-o-Bu Kahan hai Uff Kya Se Kya Hua,Sabita Devi,S. P. Rane
1934,Grihalaxmi,"Paahimam, Paahimam, Natwar Ghanshyam",K. C. Dey,S. P. Rane
1934,Grihalaxmi,Kshama Karo Devi Meri Bhool Sumati Aayi,Jal Merchant,S. P. Rane
1935,Chandrasena,Kaisi Manohar hai Maaya Prachalit Chhaya Sansar Saara,Sureshbabu Mane,Keshavrao Bhole
1935,Chandrasena,Bhootnath Bhakton Ka Sada Ubaara,,Keshavrao Bhole
1935,Chandrasena,Madira Chhalkan Laagi Gore Gore Haathon Se Paani,Rajni,Keshavrao Bhole
1935,Chandrasena,Abla Ki Pukar Suno Bhagwan Mere Ram Prabhu,Nalini Tarkhud,Keshavrao Bhole
1935,Chandrasena,Jai Jai Jagdish Ish Sharan Main Tihari,Sureshbabu Mane,Keshavrao Bhole
1935,Chandrasena,Chori Chori Nahin Yeh Kamaal Hai,Buwa Saheb,Keshavrao Bhole
1935,Chandrasena,Matwari Mori Yaad Vhandrasena Meri Yaad Nahin,Sureshbabu Mane,Keshavrao Bhole
1935,Chandrasena,Sura Pi Lo Swarg Ghar Ho Jaana,,Keshavrao Bhole
1935,Chandrasena,Pee Lo Pee Lo Surahi Main Naav Ki,Sureshbabu Mane,Keshavrao Bhole
1935,Chandrasena,Pal Chhin Laagi Lagan Tori,Nalini Tarkhud,Keshavrao Bhole
1935,Chandrasena,Rangili Raswali Phoolon Ki Behti Laali,Rajni,Keshavrao Bhole
1935,Chandrasena,Nek Thehr More Mann Aas Khaaye Bawre Aali,Rajni,Keshavrao Bhole
1935,Dharmatma,Aaj Bhaag Jaag Gaye Logo Hamare,Vasant Desai,Master Krishnarao
1935,Dharmatma,Vharan Kamal Mein Prabhu Ke Maath Namaun Aaj,Bal Gandharva,Master Krishnarao
1935,Dharmatma,Hai Boli Amrut Si Ma Ke Naam Ke Jaadu Se Sab,Ratnaprabha,Master Krishnarao
1935,Dharmatma,Dhanya Dhanya Naaro Jaati,Bal Gandharva,Master Krishnarao
1935,Dharmatma,Kaana Re Aa Zara Misri Maakhan Khaaye,Vasanti,Master Krishnarao
1935,Dharmatma,Jan Pyare Sab Tumhe Ek Si Nazar Hai Din Nath Ki,Ratnaprabha,Master Krishnarao
1935,Dharmatma,Kaise Bayan Karun Prabho Kya Kya Badhai Aapki,Ratnaprabha,Master Krishnarao
1935,Dharmatma,Prabhu Sahare Ek Tumhi Ho Laaj Tumhare Haath Hai,Bal Gandharva,Master Krishnarao
1935,Dharmatma,Prem Brij Bihari Prem Hai Pujari,Bal Gandharva,Master Krishnarao
1935,Dharmatma,Rote Bure Na Hote,Master Chhotu,Master Krishnarao
1935,Dharmatma,Narayan Nar Ke Rakhwar Kaun Bigaad Karega Tera,Vasanti,Master Krishnarao
1935,Dharmatma,Sab Kehte Jisko Neecha,Bal Gandharva,Master Krishnarao
1935,Dharmatma,Tan Ko Saaf Man Ko Saaf Kar Ke Hari Pyare,Bal Gandharva,Master Krishnarao
1935,Dharmatma,Yadi Chaahi Bharat Ban Jaave Swarg Sukhon Ka,Bal Gandharva,Master Krishnarao
1935,Dharmatma,Yeh Jag Ki Phulwari Prabhuji Nath,Bal Gandharva,Master Krishnarao
1935,Dharmatma,Yeh Samta Barat Hamara Hai,Ratnaprabha,Master Krishnarao
1936,Deccan Queen,Yaad Na Kar Dil-e-Hazin,Surendra,Pransukh Nayak
1936,Deccan Queen,Birha Ki Aag Lagi More Man Mein,Surendra,Pransukh Nayak
1936,Deccan Queen,Bana Kyun Pagal Yeh Sansar,Ramchandra Pal,Pransukh Nayak
1936,Deccan Queen,Dil Ki Lagi Ko Hum Nahin,Surendra,Pransukh Nayak
1936,Deccan Queen,Kaale Baadal Fizaaon Mein Chhaane Lage,Ramchandra Pal,Pransukh Nayak
1936,Deccan Queen,Ae Kartaar Paalanhaar,"Surendra, Aruna Devi",Pransukh Nayak
1936,Deccan Queen,Chal Ae Dil Kahin Jaa Kar Aansoo Bahaayein,Ramchandra Pal,Pransukh Nayak
1936,Deccan Queen,Man Nagri Ujadi Thi Baalam Tumne Use Basaya,,Pransukh Nayak
1936,Deccan Queen,Sawan Ke Sundar Phoolon Ka,"Surendra, Aruna Devi",Pransukh Nayak
1936,Deccan Queen,Yeh Na Thi Hamari Kismet,,Pransukh Nayak
1939,Aadmi,So Jaa Sapne Ki Aasha Koi Nahin Hai,Shanta Hublikar,Master Krishnarao
1939,Aadmi,Premi Premnagar Mein Jaayen,Shanta Hublikar,Master Krishnarao
1939,Aadmi,Kis Ke Liye Kal Ki Baat,Shanta Hublikar,Master Krishnarao
1939,Aadmi,Ta Ra Ra Nao Naa,Ram Marathe,Master Krishnarao
1939,Aadmi,Man Paapi Bhoola,Sundara Bai,Master Krishnarao
1939,Aadmi,"Jaag Jaag Jaag, Meethi Neend Se Jaga",Shahu Modhak,Master Krishnarao
1939,Aadmi,Barjori Karke Saiyan Ne,Ram Marathe,Master Krishnarao
1939,Aadmi,Bahar Aayi Piyari,Shanta Hublikar,Master Krishnarao
1939,Aadmi,Main Jaan Gayi,Shanta Hublikar,Master Krishnarao
1939,Punjab Mail,Chale Mori Naiya Nadi Kinare Prem Duare,"Sarita Devi, Sardar Mansoor",Madhavlal Damodar Master
1939,Punjab Mail,Is Khaadi Mein Desh Azaadi,"Sarita Devi, Master Mohammed",Madhavlal Damodar Master
1939,Punjab Mail,Joban Barse Jiya Mora Tarse,Sardar Mansoor,Madhavlal Damodar Master
1939,Punjab Mail,Qaid Mein Aaye Nand Dulare,"Sarita Devi, Sardar Mansoor",Madhavlal Damodar Master
1940,Achhut,Ae Ri Saasu Puchhe Nanand Se,"Kesari, Popatlal",Gyan Dutt
1940,Achhut,Bansi Banoon Bansidhar Ki,"Vasanti, Kantilal,Sitara Devi",Gyan Dutt
1940,Achhut,Din Dukhiya Ko Daan Diya,"Vasanti, Gyan Dutt",Gyan Dutt
1940,Achhut,Door Hato Ji Door Hato Ji,Gohar,Gyan Dutt
1940,Achhut,Koi Bajao Na Prem Ki Veena,Khursheed,Gyan Dutt
1940,Achhut,Nahin Bolun Nahin Bolun Lakh Manaye Krishna Kanhaiya,"Gohar, Gyan Dutt",Gyan Dutt
1940,Achhut,Raghupati Raja Raghav Ram,"Gohar, Vasanti",Gyan Dutt
1940,Achhut,Re Panchhi Samay Ko Pehchan Lena Tu,Gohar,Gyan Dutt
1940,Achhut,Soja Soja Ri Kahe Tore Bairan Nindiya,"Gohar, Vasanti",Gyan Dutt
1940,Achhut,Suno Suno Mere Bhagwan,Vasanti,Gyan Dutt
1940,Ali Baba,Dil Ka Saaz Bajaaye Ja,"Surendra, Waheedan Bai",Anil Biswas
1940,Ali Baba,Dil Chheen Ke Jaata Hai,"Surendra, Waheedan Bai",Anil Biswas
1940,Ali Baba,Teri In Ankhon Ne Kiya Bimar Haye,"Surendra, Waheedan Bai",Anil Biswas
1940,Ali Baba,Hum Aur Tum Aur Ye Khushi,"Surendra, Waheedan Bai",Anil Biswas
1940,Ali Baba,Bhool Gaye Kun Bhool Gaye,Surendra,Anil Biswas
1940,Ali Baba,Soz-e-Furkat Hai Abhi,Surendra,Anil Biswas
1940,Ali Baba,Jise Zindagi Vabal Jaan Use Kun Na Jins-e-aar Ho,Wahidan Bai,Anil Biswas
1940,Ali Baba,Kyun Pyaar Kia Tha,Wahidan Bai,Anil Biswas
1940,Ali Baba,Shukr Hai Tum Mile Baad Ummeed Mein Dil Ke,,Anil Biswas
1940,Ali Baba,Yeh Bheja Hai Humne Payam-e-Mohabbat,Anil Biswas,Anil Biswas
1940,Bharosa,Bagiya Seencha Jaane,"Khan Mastana, Menka",G. P. Kapoor
1940,Bharosa,Chhum Chhum Chhanan Naach Rahi Hai Maya,Menka,G. P. Kapoor
1940,Bharosa,Saanjh Bhai Samajh Na Paye,Sheela,G. P. Kapoor
1940,Bharosa,Man Murkh Samajh NaPaye,Menka,G. P. Kapoor
1940,Bharosa,More Naina Bhar Aaye Khushi Se,Sheela,G. P. Kapoor
1940,Bharosa,Ghaat Se Bandhan Khol Re Sajan,"Sheela, Presh Bannerji",G. P. Kapoor
1940,Bharosa,Bairi Milan Na De Sajan,"Sheela, Presh Bannerji",G. P. Kapoor
1940,Bharosa,Bhor Bhai Uth Jaag Re Manwa,Leela,G. P. Kapoor
1940,Bharosa,Kaahe Roki Baat Hamari Krishna Murari,Sardar Akhtar,G. P. Kapoor
1940,Bhairavsingh – Ek Rashtra sevak,Tatar Ka Chor,K. Amarnath,
1940,Bhairavsingh – Ek Rashtra sevak,Toofan,Chaturbhai Patel,
1940,Bhairavsingh – Ek Rashtra sevak,Usha Haran,Varma,
1940,Bhairavsingh – Ek Rashtra sevak,Vasiyat,K. M. Multani,
1940,Bhairavsingh – Ek Rashtra sevak,Vijay Kumar,"Aspi Irani, Raja Yagnik",
1940,Bhairavsingh – Ek Rashtra sevak,Virginia,K. M. Multani,
1940,Bhairavsingh – Ek Rashtra sevak,Wayda,Rafiq Rizvi,
1940,Bhairavsingh – Ek Rashtra sevak,Yaad Rahe,N. Bulchandani,
1940,Bhairavsingh – Ek Rashtra sevak,Zindagi,P. C. Barua,
1940,Chingari,Baaje Muraliya Baje Murli Meri Janam Ki Bairan,"Durgesh Kumari, Amritlal Nagar",Gyan Dutt
1940,Chingari,Kya Pachhtata Murakh Man Jab Chidiya Chug Gayi Khet,Patgaonkar,Gyan Dutt
1940,Chingari,Tori Atariya Chor Sajani,"Sabita Devi, Khatoon",Gyan Dutt
1940,Chingari,Sajan Ke Ghar Jao Sajni,,Gyan Dutt
1940,Chingari,Mohe Bhi Jhoola Jhoolaaye Jao Ho,,Gyan Dutt
1940,Chingari,Holi Kaise Kheloongi Saanwariya Ke Sang,,Gyan Dutt
1940,Chingari,Mera Aali Rachega Byaah,,Gyan Dutt
1940,Chingari,Mil Gaye Jab Hriday Donon,,Gyan Dutt
1940,Chingari,Radheshyam Shyam Shyam Radheshyam Bhajo Re Bhai,Patgaonkar,Gyan Dutt
1940,Chalti Duniya,Tatar Ka Chor,K. Amarnath,
1940,Chalti Duniya,Toofan,Chaturbhai Patel,
1940,Chalti Duniya,Usha Haran,Varma,
1940,Chalti Duniya,Vasiyat,K. M. Multani,
1940,Chalti Duniya,Vijay Kumar,"Aspi Irani, Raja Yagnik",
1940,Chalti Duniya,Virginia,K. M. Multani,
1940,Chalti Duniya,Wayda,Rafiq Rizvi,
1940,Chalti Duniya,Yaad Rahe,N. Bulchandani,
1940,Chalti Duniya,Zindagi,P. C. Barua,
1940,Holi,Oonchi Nigahon Ke Teer,Kalyani,Khemchand Prakash
1940,Holi,Phaagan Ki Rut Aai Re,"Sitara Devi, Amiratlal",Khemchand Prakash
1940,Holi,Bach Ke Raho,"Sitara Devi, Miss Kalyani, Amritlal Nagar",Khemchand Prakash
1940,Holi,Dhanwalon Ki Duniya Hai Yeh,"Sitara Devi, Kantilal",Khemchand Prakash
1940,Holi,Jeevan Mein Saras Savera Aaya,,Khemchand Prakash
1940,Holi,"Kyun Sajan, Kyun Sajni Dil Mera Baitha Jaaye",,Khemchand Prakash
1940,Holi,Laakh Chhupaye Koi Man Mein,"Motilal, Amiratlal",Khemchand Prakash
1940,Holi,Meri Sun Le Toh,Vasanti,Khemchand Prakash
1940,Holi,Naina Sharabi Rung Tore Kalejwa Pe Kar Gayo Waar,Sitara Devi,Khemchand Prakash
1940,Holi,Pagle Man Kise Sunata Hai,Kantilal,Khemchand Prakash
1940,Holi,Pihu Bahaar Gaaye Ja,Sitara Devi,Khemchand Prakash
1940,Holi,Preet Kiye Pachhtaye Sajan,"Sitara Devi, Kantilal",Khemchand Prakash
1940,Holi,Sajna Hum Tum Bhaye Udas,Miss Kalyani,Khemchand Prakash
1940,Musafir,Apni Shaam Bhai Aur Jagwaalon Ka Hua Savera,Kantilal,
1940,Musafir,Aankh Kahe Main Teer Chalaun,Brijmala,
1940,Musafir,Akeli Na Jaiyo Radhe Shri Jamuna Ke Teer,Vasanti,
1940,Musafir,Gaoongi Main Toh Girwar Ke Gun Gaoongi,"Gulab, Vasanti",
1940,Musafir,Khatmal KI Hai Basti,Charlie,
1940,Musafir,Gori Tera Nirmal Joban Yun Ganga Ka Paani,Vasanti,
1940,Musafir,Kisne Haara Hai Mora Bhola Mann,"Khursheed, Vasanti",
1940,Musafir,Piya Nahin Laage Jiya,"Khursheed, Vasanti",
1940,Musafir,Topiwale Babuji,Brijmala,
1940,Musafir,Woh Bisari Kahani Sun,Vasanti,
1940,Nartaki,Madabhari Rut Jawaan Hai,Pankaj Mullick,Pankaj Mullick
1940,Nartaki,Prem Ka Naata Chhuta,Pankaj Mullick,Pankaj Mullick
1940,Nartaki,Aankh Mund Kar Dhyaan Murakh,"Leela Desai, Radha Rani",Pankaj Mullick
1940,Nartaki,Yeh Kaun Aaj Aaya Savere Savere,Pankaj Mullick,Pankaj Mullick
1940,Nartaki,Rat Shiv Naam Ki Mala,,Pankaj Mullick
1940,Nartaki,Teri Daya Se Aaj Muraad Mil Gayi,Pankaj Mullick,Pankaj Mullick
1940,Nartaki,Kaun Tujhe Samjhave Murakh,Pankaj Mullick,Pankaj Mullick
1940,Pooja,Aaj Piya Ghar Aayenge,"Sardar Akhtar, Sitara Devi",Anil Biswas
1940,Pooja,Aaja Sajaniya Aaja,Zahur Raja,Anil Biswas
1940,Pooja,Chal Prem Ke Pankh Lagaayein,"Tara Harish, Jyoti",Anil Biswas
1940,Pooja,Ek Baat Kahun Main Sajan,"Sardar Akhtar, Zahur Raja",Anil Biswas
1940,Pooja,Gori Gori Gwaalan Ki Chhori,Sitara Devi,Anil Biswas
1940,Pooja,Jeevan Hai Ek Prem Kahani,Anil Biswas,Anil Biswas
1940,Pooja,Jhoolo Jhoolo Meri Asha Nit Nainan Mein Jhoolo,Sitara Devi,Anil Biswas
1940,Pooja,Kaun Gumaan Bhari Re Baasuriya,Chorus,Anil Biswas
1940,Pooja,Lat Uljhi Suljha Ja Balam,Jyoti,Anil Biswas
1940,Pooja,Mori Bagiya Mein Aayenge Mali,Jyoti,Anil Biswas
1940,Pooja,Sukh Kya Dukh Kya Jeevan Kya,Zahur Raja,Anil Biswas
1940,Punar Milan,Aaya Re Pardesi Sajnawa,"Rajkumari Dubey, Ramchandra Pal",Ramchandra Pal
1940,Punar Milan,Deep Jalale Asha Ka,Snehaprabha Pradhan,Ramchandra Pal
1940,Punar Milan,Hansle Jee Bhar Kar Hansle,Snehaprabha Pradhan,Ramchandra Pal
1940,Punar Milan,Kar Le Kaam Bhaj Le Ram,Ramchandra Pal,Ramchandra Pal
1940,Punar Milan,Mera Geet Bhara Sangeet Bhara Manwa,Snehaprabha Pradhan,Ramchandra Pal
1940,Punar Milan,O Jeenewale Hanste Hanste Jeena,Arun Kumar,Ramchandra Pal
1940,Punar Milan,Suni Sejariya Saiyyan Tu Ek Beri Aaja,Rajkumar,Ramchandra Pal
1940,Punar Milan,Nacho Nacho Pyare Man Ke Mor,"Snehaprabha Pradhan, Arun Kumar",Ramchandra Pal
1940,Punar Milan,Aao Banaye Ghar Pyara,"Snehaprabha Pradhan, Arun Kumar",Ramchandra Pal
1940,Punar Milan,Sooni Sejariya Saiyan,Rajkumari Dubey,Ramchandra Pal
1941,Anjaan,Aayi Paschim Se Ghata,Devika Rani,Pannalal Ghosh
1941,Anjaan,Chhalko Na Ras Ki Gagariya,Rajkimari,Pannalal Ghosh
1941,Anjaan,Khincho Kamaan Khincho,"Ashok Kumar, Suresh Babu Mane, Rewashankar",Pannalal Ghosh
1941,Anjaan,Main Toh Tumse Bandhi Rahoon,Devika Rani,Pannalal Ghosh
1941,Anjaan,Mere Jeevan Ke Path Par,"Devika Rani, Ashok Kumar",Pannalal Ghosh
1941,Anjaan,Pyare Pyare Sapne Humare,Ashok Kumar,Pannalal Ghosh
1941,Anjaan,Sanwariya Re Sanwariya Chal Chal Re,"Arun Kumar Mukherji, Sushila Rani",Pannalal Ghosh
1941,Bahen,"Piya Ghar Jaana, Sajan Ghar Jaana",Nalini Jaywant,Anil Biswas
1941,Bahen,"Aayi Jawani,Jiya Laharay","Sheikh Mukhtar, Nalini Jaywant",Anil Biswas
1941,Bahen,Nahi Khatey Hai Bhaiya Mere Paan,"Sheikh Mukhtar, Nalini Jaywant",Anil Biswas
1941,Bahen,Tore Kajra Lagaoon Mori,"Beena Kumari, Baby Meena",Anil Biswas
1941,Bahen,Mora Pihu Pihu Mann Bole,Husn Bano,Anil Biswas
1941,Bahen,Ratoo Nish Din Tera Naam Re,Husn Bano,Anil Biswas
1941,Bahen,Preet Nahi Jaane Balam More Bhole,Iqbal,Anil Biswas
1941,Bahen,Mohe Le Chal Apni Nagariya,"Husn Bano, Nalini Jaywant",Anil Biswas
1941,Bahen,Koyal Gaa Re Papihe,Husn Bano,Anil Biswas
1941,Bahen,Kiye Ja Sabka Bhala,Anil Biswa,Anil Biswas
1941,Bahen,Aaj Chali Sasural Sakhi Ri,Anil Biswas,Anil Biswas
1941,Bahen,Kyun Karta Hai Murakh Asha,Anil Biswas,Anil Biswas
1941,Bombaiwali,Chalo Chalo Ab Gaayenge Sav Hilmil Ke,"Radharani, Sardar Mansoor",Madhavlal Damodar Master
1941,Bombaiwali,Bharat Ki Naar Ab Jagi Hai,Radharani,Madhavlal Damodar Master
1941,Bombaiwali,Mai Dhundu Nis Din Pritam Ko,"Radharani, Sardar Mansoor",Madhavlal Damodar Master
1941,Bombaiwali,Wo Kehte Hai Ki Ishq Ko,Fida Hussain,Madhavlal Damodar Master
1941,Bombaiwali,Man Ka Darpan Toot Gaya,Radharani,Madhavlal Damodar Master
1941,Bombaiwali,Janab-e-naase Samajhte Hai Hum,Fida Hussain,Madhavlal Damodar Master
1941,Bambai Ki Sair,Chhed De Sajni (Jinki Jawani Unka Zamana),"Shobhna Samarth, Kantilal",Khemchand Prakash
1941,Bambai Ki Sair,Kheenchi Chitvan Chadhe Tevar,"Shobhna Samarth, Kantilal",Khemchand Prakash
1941,Bambai Ki Sair,Meri Ankhein Sharaabi,Vatsala Kumtekar,Khemchand Prakash
1941,Bambai Ki Sair,Raat Pade Mat Rooth Deewani,Kantilal,Khemchand Prakash
1941,Bambai Ki Sair,Woh Baat Ki Hai Tune Bas Mazaa Aa Gaya,"Vatsala Kumtekar, Kantilal",Khemchand Prakash
1941,Bambai Ki Sair,Tere Nainon Mein Naina Daale,Vatsala Kumtekar,Khemchand Prakash
1941,Bambai Ki Sair,Jaaye Na Paayi Ho Hamari Gali Aay Ke,Vatsala Kumtekar,Khemchand Prakash
1941,Bambai Ki Sair,Taare Kyun Muskayein,"Rajkumari, Kantilal, Vatsala Kumtekar",Khemchand Prakash
1941,Bambai Ki Sair,Gar Zindagi Mein Pyar Ho,,Khemchand Prakash
1941,Khazanchi,Diwali Phir Aa Gayi Sajni,Shamshad Begum,Ghulam Haider
1941,Khazanchi,Laut Gayi Papan,Shamshad Begum,Ghulam Haider
1941,Khazanchi,Mohe Bhabhi La Do Bhaiyya,Shamshad Begum,Ghulam Haider
1941,Khazanchi,Mori Chudiya Aayegi Aali,Shamshad Begum,Ghulam Haider
1941,Khazanchi,Naino Ke Baan Ki Reet Anokhi,"Shamshad Begum,Ghulam Haider",Ghulam Haider
1941,Khazanchi,Pine Ke Din Aaye Piye Ja,Shamshad Begum,Ghulam Haider
1941,Khazanchi,Sawan Ke Najare Hain,Shamshad Begum,Ghulam Haider
1941,Khazanchi,Man Dhire Dhire Rona,Shamshad Begum,Ghulam Haider
1941,Lagan,Kaaheko Raad Machayi,K. L. Saigal,R. C. Boral
1941,Lagan,Hat Gayi Lo Kari Ghata,K. L. Saigal,R. C. Boral
1941,Lagan,Koi Manushya Kitna Hi Bura Ho,K. L. Saigal,R. C. Boral
1941,Lagan,Ye Kaisa Anyay Data,K. L. Saigal,R. C. Boral
1941,Lagan,Main Sote Bhag Jaga Dunga,K. L. Saigal,R. C. Boral
1941,Lagan,Kaise Kate Ratiyan Balam,K. L. Saigal,R. C. Boral
1941,Lagan,Hamari Laaz Nibhao Swami,Kanan Devi,R. C. Boral
1941,Lagan,Koi Samjhaye Ye Geet Sakhi Kya Hai,Kanan Devi,R. C. Boral
1941,Lagan,Tum Bin Kal Na Aave Mohe,Kanan Devi,R. C. Boral
1941,Lagan,Taakat Tu Haari,Kanan Devi,R. C. Boral
1941,Lagan,Madbhari Madbhari Matwari,Kanan Devi,R. C. Boral
1941,Padosi,Avadhapuri Sab Prem Hi Chhaava,Mazhar Khan/Krishnarao,Master Krishnarao
1941,Padosi,Sathi Janam Maran Ka Tu,Balwant Singh,Master Krishnarao
1941,Padosi,Kaka Abba Bade Khiladi,"Gopal, Balakram, Balwant Singh",Master Krishnarao
1941,Padosi,Ban Mein Bahar Aa Gayi,"Anees Khatoon, Balwant Singh",Master Krishnarao
1941,Padosi,Kaisa Chaya Hai Ujala Rasiya,"Anees Khatoon, Balwant Singh",Master Krishnarao
1941,Padosi,Mai Geet Sunati Rehti Hu,Anees Khatoon,Master Krishnarao
1941,Padosi,Sari Duniya Musafir,"Balwant Singh, Anees Khatoon",Master Krishnarao
1941,Padosi,Uth Meri Pyari Beti,Anees Khatoon,Master Krishnarao
1941,Padosi,Bharath Avadh Me Shok Manaye,,Master Krishnarao
1941,Padosi,Mami Chail Chabili Naar,,Master Krishnarao
1941,Padosi,Woh Din Bisar Hi Nahi More Raja,Mulia,Master Krishnarao
1941,Padosi,Rama Bin Kachhu Nahin Suhave,Mulia,Master Krishnarao
1942,Armaan,Dil Ki Duniya Jo Luta Di Tere Diwane Ne,Shamim,Gyan Dutt
1942,Armaan,Kabutar Sandesa Liye Aa Rahe Hain,Shamim,Gyan Dutt
1942,Armaan,Lao To Zara Dil Ko Ise Dil Me Chipaun,Shamim,Gyan Dutt
1942,Armaan,Mira Ke Mann Me Baso Muralidhar Ghanshyam,Shamim,Gyan Dutt
1942,Armaan,Nainan Me Andhiyara,,Gyan Dutt
1942,Armaan,Raat Suhani Aao Gaiyi,Shamim,Gyan Dutt
