Year,Movie,URL
1940,Kalyani,https://en.wikipedia.org/wiki/Kalyani_(1940_film)
1940,Kumkum the Dancer,https://en.wikipedia.org/wiki/Kumkum_the_Dancer
1940,Main Hari,https://en.wikipedia.org/wiki/Main_Hari
1940,Narsi Bhagat,https://en.wikipedia.org/wiki/Narsi_Bhagat
1940,Nirali Duniya,https://en.wikipedia.org/wiki/Nirali_Duniya
1940,Pagal,https://en.wikipedia.org/wiki/Pagal_(film)
1940,Pak Daman,https://en.wikipedia.org/wiki/Pak_Daman
1940,Prem Nagar,https://en.wikipedia.org/wiki/Prem_Nagar_(1940_film)
1940,Qaidi,https://en.wikipedia.org/wiki/Qaidi_(1940_film)
1940,Rangila Jawan,https://en.wikipedia.org/wiki/Rangila_Jawan
1940,Rani Sahiba,https://en.wikipedia.org/wiki/Rani_Sahiba
1940,Reshmi Sari,https://en.wikipedia.org/wiki/Reshmi_Sari
1941,Amrit,https://en.wikipedia.org/wiki/Amrit_(1941_film)
1941,Akela,https://en.wikipedia.org/wiki/Akela_(film)
1941,Bulbule Baghdad,https://en.wikipedia.org/wiki/Bulbule_Baghdad
1941,Charnon Ki Dasi,https://en.wikipedia.org/wiki/Charnon_Ki_Dasi
1941,Chitralekha,https://en.wikipedia.org/wiki/Chitralekha_(1941_film)
1941,Circus Ki Sundari,https://en.wikipedia.org/wiki/Circus_Ki_Sundari
1941,Dhandora,https://en.wikipedia.org/wiki/Dhandora
1941,Hamara Desh,https://en.wikipedia.org/wiki/Hamara_Desh
1941,Himmat,https://en.wikipedia.org/wiki/Himmat_(1941_film)
1941,Jadui Bandhan,https://en.wikipedia.org/wiki/Jadui_Bandhan
1941,Jawani Ka Rang,https://en.wikipedia.org/wiki/Jawani_Ka_Rang
1941,Jhoola,https://en.wikipedia.org/wiki/Jhoola_(1941_film)
1941,Kasauti,https://en.wikipedia.org/wiki/Kasauti_(1941_film)
1941,Laheri Jeewan,https://en.wikipedia.org/wiki/Laheri_Jeewan
1941,Madhusudhan,https://en.wikipedia.org/wiki/Madhusudan_(film)
1941,Mala,https://en.wikipedia.org/wiki/Mala_(1941_film)
1941,Manthan,https://en.wikipedia.org/wiki/Manthan_(1941_film)
1941,Masoom,https://en.wikipedia.org/wiki/Masoom_(1941_film)
1941,Mere Raja,https://en.wikipedia.org/wiki/Mere_Raja
1941,Mere Sajan,https://en.wikipedia.org/wiki/Mere_Sajan
1941,Meri Khwahish,https://en.wikipedia.org/wiki/Meri_Khwahish
1941,Nai Roshni,https://en.wikipedia.org/wiki/Nai_Roshni_(1941_film)
1941,Naya Sansar,https://en.wikipedia.org/wiki/Naya_Sansar_(1941_film)
1941,Pyaas,https://en.wikipedia.org/wiki/Pyaas_(1941_film)
